tweet,product,emotion
lonely planets new iphone austin city guide is free march  for those going to sxsw link travel,iPad or iPhone App,Positive emotion
game mechanics talk with google at sxsw is so packed theres a long line still waiting to get in sxsw,,No emotion toward brand or product
has spontaniety in life been replaced by technology when your iphone battery dies you go home great  at busy sxsw,iPhone,No emotion toward brand or product
the day bank of america launched their iphone app they got k new customers bankinnovation sxsw,iPad or iPhone App,Positive emotion
a huge thank u to the nice person who found my iphone blue white stripes on the th floor of the conventioncenter amp brought it back sxsw,,No emotion toward brand or product
sxsw  thanks for the ever present iphone barging tables,,Positive emotion
mention announces windowsphone app today sxsw link wp,,No emotion toward brand or product
mention another google social failure sxsw,Google,Negative emotion
google plans to bring quotthe power of herequot to life in the future by linking the digital and the physical worlds link sxsw,,Positive emotion
google plans to launch major new social network called circles possibly today link sxsw,,No emotion toward brand or product
austinl fans rt mention head over to link by pm cst today to win vip access to my acoustic solo set at sxsw tonight,,No emotion toward brand or product
momi want my ipad  back link thingsthatdontgotogether sxsw lisa rinna,iPad,Positive emotion
i dont want to lose your love google sxsw,Google,Positive emotion
so brilliant rosso used a google  doc to paste in a recipe to make mothers think they generated a recipe for her leanstartup sxsw,Other Google product or service,Positive emotion
hello gigantic line outside google v bing seo session sxsw sxswi,,No emotion toward brand or product
what company company has the best supply chain walmart and apple behance sxsw,Apple,Positive emotion
mention any idea what time the apple store at sxsw closes tonight,,No emotion toward brand or product
is there any way of deleting an app that wont stop loading on the iphone draining my power but no x to cancel help me sxsw,iPad or iPhone App,Negative emotion
fast company sxsw why google apple ea games zynga facebook microsoft and intuit went gaga for the go game link,,No emotion toward brand or product
why does anyone do a product just for one thing  just an ipad just a droid just a iphone wont ultimately work mention diller sxsw,,No emotion toward brand or product
great recap of a seemingly great sxsw session rt mention relive the wonder that was the google v bing panel link,Google,Positive emotion
great recap of googlebing qa session on website ranking sxsw qagb link via mention cc mention,Google,Positive emotion
ipad  graphics much faster than ipad  motorola xoom link mention tech sxsw,iPad,Positive emotion
sxsw evaporation mention mention business model is the platform iphone app makes tools available to developers,iPad or iPhone App,Positive emotion
android app bizzy challenges us to quotcheck outquot sxsw link,,No emotion toward brand or product
android app review sxsw go  link pls ,,No emotion toward brand or product
i hope  apple approves irelay social network for mobile photo sharing app before sxsw easier to share with people of they can download,iPad or iPhone App,Positive emotion
at sxsw apple has  marketshare not seeing much linux,,No emotion toward brand or product
a major apple ios update the day before sxsw what genius project manager came up with that brilliant idea nowhammies,Apple,Negative emotion
mention apple is great at turning the new into the old  sxsw,Apple,Positive emotion
sweet apple listened to us  a temp apple store near sxsw for ipad launch  link,Apple,Positive emotion
mention apple popup store at sxsw was  blocks long betterthingstodo,Apple,Negative emotion
does the apple popup store still have ipads sxsw sxswi,iPad,Positive emotion
love the apple popup store at sxsw so freaking smart now one question will atampt bring trucks for signal again please say yes,Apple,Positive emotion
queue at apple popup store at sxsw still long,,Negative emotion
at sxsw apple schools the marketing experts  cnet link sxsw,Apple,Positive emotion
at sxsw apple schools the marketing experts link  sxsw,Apple,Positive emotion
at sxsw apple schools the marketing experts link via mention sxsw apple,Apple,Positive emotion
at sxsw apple schools the marketing experts link apple jobsco sxsw,Apple,Positive emotion
at sxsw apple schools the marketing experts link sxsw essdub,,No emotion toward brand or product
at sxsw apple schools the marketing experts  sxsw link,,No emotion toward brand or product
at sxsw apple schools the marketing experts link via mention sxsw apple marketing,Apple,Positive emotion
clever  apple set to open popup shop in core of sxsw action link,Apple,Positive emotion
watched apple staff at the temp sxsw store just high five entire long line and facepalmed ugh,,No emotion toward brand or product
mention apple store nyc one day sxsw,,No emotion toward brand or product
re temp apple storegreat move they really need help with brand recognition  in all seriousness pretty cool sxsw,Apple,Positive emotion
well the apple store website says ipads will only be available at  pm on friday wonder how that will affect sxsw,,No emotion toward brand or product
mention apple to open a popup store downtown austin th amp congress for sxsw and the ipad  launch,,No emotion toward brand or product
come on apple why cant i have spellchecking without autocorrect must it be all or nothing grrr sxsw,Apple,Negative emotion
line for apples ipad  popup store is already wrapping around the block sxsw  link,,Positive emotion
mention apples making a temp store for sxsw  for u to get an ipad   link,iPad,Positive emotion
new ipad apps for speech therapy and communication are showcased at the sxsw conference link,,No emotion toward brand or product
new ipad apps for speech therapy and communication are showcased at sxsw  mention link,,No emotion toward brand or product
new ipad apps for speech therapy and communication are showcased at the sxsw conference link sxswi sxsh sxswh hcsm slp,,No emotion toward brand or product
new ipad apps for speech therapy and communication are showcased at the sxsw conference link cc mention mention sxswi,,No emotion toward brand or product
first  apps to download for your ipad  link sxsw in via mention mention,,No emotion toward brand or product
sxsw is apptastic link android apps developers ios iphone smartphones,,No emotion toward brand or product
sxsw tapworthy check out ipad design headaches  tablets call in the morning at sxswlink,,No emotion toward brand or product
vai comear a palestra do  mention exchief evangelist of apple sxsw,,I can't tell
seen so far at sxsw popup apple store pillow fight mechanical bull girls wearing jetpacks,,No emotion toward brand or product
 mm usar of google maps ate mobile sxsw,,No emotion toward brand or product
not to fear sxsw attendees you can pick up your ipad s from apples austin popup shop link via mention,iPad,Positive emotion
bettersearch sxsw does google weight hotpot reviews heavier than other review sites when collecting data for local search results,,No emotion toward brand or product
bettersearch sxsw google hotpotlooks like a streamlined yelp not as indepth though wondering if there is any game theory built in,,No emotion toward brand or product
as the search from sxsw via twitter does not work check out googles real time search at least you get some results sxsw,Other Google product or service,Positive emotion
 of searches on google are local searches sxsw,,No emotion toward brand or product
another hard call this morning designing for the ipad or from reading to writing the genetic code going with the latter sxsw,,No emotion toward brand or product
police guard ipad s at apple store sxsw ipad link,,No emotion toward brand or product
i just heard that ipads are sold out except for a few at apple popup store sxsw true,,No emotion toward brand or product
share share and share some more posterous joins the sxsw pile on with posterous events for iphone link socmedia,,Positive emotion
checkins are fun but we need to extend beyond just being fun and make checkins useful sxsw google,,No emotion toward brand or product
startups are talking to the captive audience here in the apple store line very smart idea why arent more doing it sxsw,,No emotion toward brand or product
mention are you around sxsw need a us sim for my iphone gs for the next  wanna bring one in please,,No emotion toward brand or product
mention are you at sxsw    no just watching from afar  couldnt help noticing buzz generated by  a shirt  arduino  android ,,No emotion toward brand or product
mention are you in texas how is it  apple sxsw,,No emotion toward brand or product
mention are you really coming to the team android party sxsw,,No emotion toward brand or product
tried square its a credit card reader for iphone and android amazingly simple sxsw impressed link,iPad or iPhone App,Positive emotion
mention arg it wont load on me iphone not via the app store or the site just trying to sxsw it and am feelin so out of touch,iPhone,Negative emotion
had to charge the iphone every hours here on sxsw running it on lowest possible screen brightness apple fix your basics,iPhone,Negative emotion
iphone charging at sxsw  link,,No emotion toward brand or product
iphone charging party in the hallway ux and ia professionals unite sxsw,iPhone,Positive emotion
we are gearing up for the sxsw interactive trade show we are across from google  link,,No emotion toward brand or product
iphone sharing sxsw shareable,,No emotion toward brand or product
arrived early to get prime seats for presentation by googles marissa mayer sxsw kek,,No emotion toward brand or product
the line around the austin apple popup store unbelievable sxsw technology junkies,,No emotion toward brand or product
man gets arrested at sxsw for not having an iphone  link,,I can't tell
rachael harris thats who i saw that was driving me nuts thank you google sxsw,Google,Positive emotion
i go to bars and get free drinks because i have an iphone doesdroid sxsw,iPhone,Positive emotion
thanks marshall jones for the headsup apple to open temporary store for sxsw at th and congress link,,No emotion toward brand or product
such a smart idea rt mention wt mention wrote about our hollergram ipad app for sxsw  link,iPad or iPhone App,Positive emotion
googles art project puts famous artworks into  billion pixels allowing you to zoom in amp get an entirely different view of art sxsw,Google,Positive emotion
googles art project would be a great virtual field trip for kids museums around the world edtech sxsw,Other Google product or service,Positive emotion
good cnn article on why sxsw is important to social web innovators link this is why im bringing griddler ipad app there,iPad or iPhone App,Positive emotion
android party  sxsw mention lustre pearl bar w  others link,,No emotion toward brand or product
android party sxsw mention lustre pearl bar w  others link,,No emotion toward brand or product
android party sxsw mention lustre pearl bar w  others link,Android,Positive emotion
day   party hangover time confused stumbling into quotipad interfaces amp new navigation structuresquot bliss sxsw fb,,No emotion toward brand or product
chimpit party plutopia google maybe a movie sxsw starts today for me ,,No emotion toward brand or product
im lazy as f is there a feed for listening to sxsw bands on iphone im woefully unprepared for music mention spreadsheet notwithstanding,,No emotion toward brand or product
quotideas not objectsquot robert burner hired ives at apple sxsw,,No emotion toward brand or product
oh at texas social media awards you dont need to ask your mother anymore just google it sxswi sxsw,,No emotion toward brand or product
sxsw kawasaki says key to enchantment is likability of mention trustworthiness of mention amp product of mention,,No emotion toward brand or product
apple  case study of great mktg at sxsw they just showed everyone up again with buzz about the quotpopup storequot link,Apple,Positive emotion
rt stevecase google to launch major new social network called circles link sxsw,,No emotion toward brand or product
google quash circles rumours rt mention were not launching any products at sxsw but were doing plenty else link,,No emotion toward brand or product
is the flash discussion still relevant sxsw tapworthy ipad design headaches,,Negative emotion
iphone crashed in front of sxsw apple popup bestworstthingever,,I can't tell
got my flask amp my ipad  yes  im sitting on th st waiting for aicn screening sxsw prepared  iloveasurprise link,iPad,Positive emotion
guy just asked googles mayer it can take a year to remove deadly routes from google maps such as through death valley sxsw,Other Google product or service,Negative emotion
like you asserted corporate is the new indie rt mention well damn apple setting up a quotpopupquot shop at sxsw link,,No emotion toward brand or product
cant be at  sxsw  well this is a nice free booby prize featured artists  link itunes free via  mention,,No emotion toward brand or product
mention at cnngrill sxsw rockin the iphone couldnt be cooler link,iPhone,Positive emotion
mention at sxsw also known as hershel by my iphone autocorrect link,,No emotion toward brand or product
nyt wsj at sxsw ask is there a future for branded native news apps on the ipad link  no there is not,iPad or iPhone App,Negative emotion
mention at sxsw  out of  attendees have mac or ipad,iPad,Positive emotion
startups at sxsw mention is giving away free hosting fill out this and mention me for a chance to win link,,No emotion toward brand or product
mention at sxsw quotapple comes up with cool technology no ones ever heard of because they dont go to conferencesquot via mention,Apple,Positive emotion
mention at sxsw quotapple comes up with cool technology no ones ever heard of because they dont go to conferencesquot via mention,Apple,Positive emotion
mention at sxsw quotapple comes up with cool technology no ones ever heard of because they dont go to conferencesquot,Apple,Positive emotion
mention at sxsw google will connect the digital amp physical worlds through mobile link and link,Google,Positive emotion
verbs oh at sxsw bump google facebook ping hashable fuck meet hireme any more,,No emotion toward brand or product
mention at sxsw be the first to send us a pic of mention and get a free download of our game android videogame smartphone,Android App,Positive emotion
cant be at sxsw download their free music mix on itunes link,,No emotion toward brand or product
the line at th amp congress to enter the new apple store wraps around  blocks  sxsw,,No emotion toward brand or product
i just shat a tear rt mention good news for austinbound apple fanboys link sxsw ipad,Apple,Positive emotion
i hear that apple is opening a popup store downtown in the scarborough building for sxsw and the ipad cool sxsw newapplestoreaustin,Apple,Positive emotion
i love that apple was smart enough to have a popup sxsw store story  map link tip mention,Apple,Positive emotion
no up that count to  as i pass charging station fools sxsw mention,,No emotion toward brand or product
arriving at google party at sxsw small queue  here we come wittingly some of our group werent born then link,,No emotion toward brand or product
s band at googleaclu  party rocks  sxsw  link,Google,Positive emotion
hoping that it will be easier to get an ipad  today since  of the target audience is busy at sxsw awesometiming,iPad,Positive emotion
a free heat map app of sq checkins at sxsw see mention hot spots mention sxsw now on wp amp iphone wedig,,No emotion toward brand or product
google heat map for global searches sxsw hotpot link,,No emotion toward brand or product
oh is that my excuse rt mention rt mention at sxsw quotapple comes up with cool technology  because they dont go to conferencesquot,Apple,Positive emotion
did what my mom might call the big at sxsw power plant cnn google and offchain set by trombone shorty at pbs so sad missed rye rey,,I can't tell
wonder what percentage of sxsw interactive participants have an iphone its gotta be high,iPhone,Positive emotion
hungover at sxsw use zaarly to get your gatorade and advil link billlee html iphone sxsw,,No emotion toward brand or product
mention at team android party mention mention just walked in dl appolicious app amp enter to win free nexus s androidsxsw sxsw,Android,Positive emotion
geek out at the sxsw interactive panels with this ipad holler gram app use your ipad to display messages to others link,iPad,Positive emotion
the line at the sxsw apple popup store was shorter than the line at the starbucks across the street so i really had no choice,,No emotion toward brand or product
the line at the sxsw popup apple store is already around the block   hrs b ipad goes on sale link,,No emotion toward brand or product
the line at the apple store goes around the block oh thats right ipad  also sxsw,iPad,Positive emotion
the band at the google party is the most entertaining band i have ever seen sxsw,,Positive emotion
blackout at the hotel in true sxsw form showering by the light of my ipad,,No emotion toward brand or product
the line at the popup apple store is phenomenal sxsw apple ipad  link,Apple,Positive emotion
standing at the top of the steps right side coming out onto patio come and say quotwhats up androidquot teamandroid sxsw,,No emotion toward brand or product
wonder what theyll have up their sleeves rt mention google launch new social network called circles link sxsw,,No emotion toward brand or product
venturebeat rt mention on its second day in business the apple popup store appears to be trending sxsw vb mention  link,Apple,Positive emotion
thats great rt mention official sxsw iphoneipadios meetup is almost all employers looking for developers link,,No emotion toward brand or product
 who what where when why  link  edchat musedchat sxsw sxswi classical newtwitter,,No emotion toward brand or product
bout to watch the mention live at sxsw apple store for ipad  w mention and mention living vicariously through all those that buy one,iPad,Positive emotion
another late start at sxsw sxswi damn you google and your rocking s party,Google,Positive emotion
the spasmatics are rockin it at the aclu  google party sxsw,Google,Positive emotion
why has latin america not produced the next mention or mention  latism latam sxsw,,No emotion toward brand or product
great location choice and nice timing for ipad launch apple hp popping in for sxsw link,iPad,Positive emotion
congratulation rt mention yes gowalla wins best andoid app at the team android choice awards thanks all sxsw,Android App,Positive emotion
mention atleast you are at sxsw im not there and i have no ipad doubleloser,,No emotion toward brand or product
william patry google says most authors dont care about copyright they care about income sxsw but what models,,I can't tell
no waymatt fricking damon at google party at maggie maes sxsw mention link,,No emotion toward brand or product
iphone battery doesnt last long under sxsw usage,iPhone,Negative emotion
were creatures of habit google found that ctrs for blue links far outpaced green the darker the link the more clicks it got sxsw,,No emotion toward brand or product
no way atx sxsw rt mention just found out the apple popup store is scheduled to close on sunday lets hope it is only a rumor,,No emotion toward brand or product
cnn to launch quottv everywherequot service for mobile google tv amp computers link by mention  sxsw google,,No emotion toward brand or product
we just launched our ipad app at sxsw get all the details  the first edition free link,,No emotion toward brand or product
we just launched spins ipad app at sxsw tons of music photos videos and more whatcha think link,iPad or iPhone App,Positive emotion
heywire launches group chat with facebook google and twitter sxsw link,,No emotion toward brand or product
google launching a quotmajorquot new social network at sxsw,,No emotion toward brand or product
google launching a quotmajorquot new social network at sxsw  wonder what that can be,,No emotion toward brand or product
ran the gauntlet to get a seat in ipad design talk expect itll be overflowing sxsw,,No emotion toward brand or product
th ave austin sxsw ipad lines link,,No emotion toward brand or product
you gdgtaustin attendees are havin fun happy sxsw stop by on your way out last chance to win an ipad ,,No emotion toward brand or product
going to austin for sxsw the mention austin guide for iphone is free from mar  link lp,,No emotion toward brand or product
austinjs autocorrects to sisyphus on the iphone just sayin sxsw,iPhone,No emotion toward brand or product
i dont have a television but still have a twoscreen expierence iphone and ipad psych sxsw,iPhone,Positive emotion
quoti have my iphone and mention  paul reubens sxsw,,No emotion toward brand or product
the ppl have spoken quotgreat sxsw session w bing google and danny sullivan bring it back next year with a larger roomquot qagb sxswi,Google,Positive emotion
anyone leaving sxsw with an iphoneipad and time to kill in airports or on flights download tiny wings youre welcome and im sorry,iPad or iPhone App,Positive emotion
google saving drivers time and fuel link seo sem googlemaps mobile topnews sxsw,Other Google product or service,Positive emotion
matthew davisdesigning for ipad quotthe web has been like a strip mall of contentquot sxsw,iPad,Positive emotion
think i saw mention or a lookalike in line for ipad  mention apple popup shop at sxsw hes got an awesome amp very profitable youtube channel,,No emotion toward brand or product
ipad giveaway for using mention at sxsw link,iPad,Positive emotion
stepping away from the computer leaving my iphone in the den  disconnectedsundays  booya  have a good avro sxsw,,No emotion toward brand or product
win this awesome ipad from quibids and custom mention case if we catch you at sxsw wearing an openbeta vip badge,iPad,Positive emotion
mention awesome i traded in sxsw last year for the ipad ,iPad,Positive emotion
rt haha awesomely rad ipad app by mention link hollergram sxsw via mention,iPad or iPhone App,Positive emotion
rt haha awesomely rad ipad app by mention link hollergram sxsw via mention mention,iPad or iPhone App,Positive emotion
piece of awesomeness arduino  android  flaming skulls  link mention mention sxsw smartthings,Android,Positive emotion
sxsw today  mention amp his iphone game and mention amp mention more and more a celebbrand destination marketing,,No emotion toward brand or product
dude i may actually buy an ipad  tomorrow apple will have a temporary store in downtown austin for sxsw link,iPad,Positive emotion
giving away an ipad  at this panel wish me luck sxsw,iPad,Positive emotion
giving away an ipad to sharers who invite the most friends to join aos this sxsw mention the ginger man link,iPad,Positive emotion
giving away apple gift cards in exchange  serious style find us on th or by the conv cntr u look hot well do the rest sxsw fashion,Apple,Positive emotion
android may be gaining market share but youd never know it at sxsw apparently our industry movers and shakers are apple loyalists,,Positive emotion
have to say pretty smart timing for apple to drop the ipad right on top of sxsw its nearly all that anyones talking about,iPad,Positive emotion
have to say when i heard quotpop up apple storequot i pictured something more along the lines of a inflatable bouncy castle sxsw,,No emotion toward brand or product
marissa mayer mention  google will connect the digital amp physical worlds through mobile link sxsw via mention,,No emotion toward brand or product
marissa mayer mention future not ar but quotcontextual discoveryquot imagelocationpersonalized contextrecommendations sxsw,,No emotion toward brand or product
marissa mayer sxsw google quotmaking smart phones smarterquot amp life more efficient knowing your sched gt suggest flights maps weather amp more,Google,Positive emotion
marissa mayer at sxsw  m users of google maps for mobile for st time ever an app born for web has more use as a mobile app,,No emotion toward brand or product
marissa mayer at sxsw  million people use google maps on mobile devices thats up  since aug   link in,,No emotion toward brand or product
marissa mayer demonstrating the google art project take a museum tour  without leaving home art for the masses sxsw,,No emotion toward brand or product
marissa mayer from mention quotmobile is a cursorquot sxsw  demo of next gen google maps is really impressive btw,Other Google product or service,Positive emotion
marissa mayer of google speaking at sxsw mobile phone usage of google maps surpassed online use in the past couple months,Other Google product or service,Positive emotion
melissa mayer of google says credit card companies can predict a divorce with  accuracy based on spending patterns alone sxsw guardian,,No emotion toward brand or product
merissa mayer of google  study of mailorder purchases led to  accuracy in predicting divorces two years in advance sxsw,,No emotion toward brand or product
marissa mayer rechristening augmented reality as quotcontextual discovery at sxsw sxswi google tcsdw,,No emotion toward brand or product
marissa mayer talks the future of google maps and discusses hotpot its answer to locationbased ratings and recommendations sxsw kek,Other Google product or service,Positive emotion
marissa mayertaking phone location data from a ski hill and laying the elapsed movement of skiiers onto google maps sxsw,,No emotion toward brand or product
marissa mayer google says  of google maps usage is local google maps has more than m users a day sxsw,,No emotion toward brand or product
marissa mayer vp consumer products for google doing great job at sxsw audience has tons of respect for what google is doing w location,Google,Positive emotion
marissa mayer vp of search at google is on live from sxsw in just a few moments link,,No emotion toward brand or product
marissa mayer quotour focus is on location based servicesquot demoed hotpot google maps vector maps augmented reality sxsw webvisions,Google,Positive emotion
marissa mayer google wil connect the digital amp physical worlds through mobile  link  sxsw,Google,Positive emotion
marissa mayer google will connect the digital amp physical worlds through mobile link sxsw,,No emotion toward brand or product
marissa mayer google will connect the digital amp physical worlds through mobile link sxsw sxswi,,No emotion toward brand or product
marissa mayer  of google maps usage is mobile and there are  million mobile users link google sxsw tc,,No emotion toward brand or product
marissa mayer  of google maps usage is mobile and there are  million mobileusers link via mention sxsw goog,,No emotion toward brand or product
marissa mayer  of google maps usage is mobile surprised it isnt way north of  sxsw link,,No emotion toward brand or product
marissa mayer checkins are fun but what do you get from them  thats why google is testing loyalty offers  watch out foursquare sxsw,,Positive emotion
marissa mayer google maps should have better customer service quicker responses sxsw fh,Other Google product or service,Negative emotion
marissa mayer google will connect the digital amp physical worlds through mobile  link sxsw,,No emotion toward brand or product
marissa mayer google will connect the digital amp physical worlds through mobile  link sxsw,,No emotion toward brand or product
marissa mayer google will connect the digital amp physical worlds through mobile  link sxsw,,No emotion toward brand or product
marissa mayer google will connect the digital amp physical worlds through mobile  link sxsw via mention,,No emotion toward brand or product
marissa mayer google will connect the digital amp physical worlds through mobile  link sxsw link,,No emotion toward brand or product
marissa mayer google will connect the digital amp physical worlds through mobile  onmashtofhdcfn sxsw,,No emotion toward brand or product
marissa mayer google will connect the digital amp physical worlds through mobile link mobile sxsw,,No emotion toward brand or product
marissa mayer google will connect the digital amp physical worlds through mobile link google sxsw mobile hotpot,Google,Positive emotion
marissa mayer location and contextual discovery will enable mobile devices to make us more efficient  eg google places whotpot sxsw,Other Google product or service,Positive emotion
marissa mayers preso at sxsw was good big ad for google which is fine she was good i expected more other attendees thoughts,,No emotion toward brand or product
nothing says douche cake like walking around with a ipad like its an iphone sxsw,iPad,Negative emotion
google plays down social network circles at sxsw link  fb needs a rival even if its just to keep them on their toes,Google,No emotion toward brand or product
crowley says no hard feelings towards google after dodgeball experience says they would be good partner sxsw checkins,Google,Positive emotion
really amazing to see so many people putting up with apples notes app on the ipad at sxsw,iPad or iPhone App,Negative emotion
really amazing to see so many people putting up with apples notes app on the ipad at sxsw  link,iPad or iPhone App,Negative emotion
google web fontspretty sxsw tradeshow link,Other Google product or service,Positive emotion
expect mob scenes on w th st amp congress link sxsw ipad,,No emotion toward brand or product
chrome web store google calls it the html hot tub sxsw steamy hot nerds,Other Google product or service,Positive emotion
in sxsw ballroom d for mention from mention one seat reserved in the fourth row if anyone wants to join htxsw,,No emotion toward brand or product
cool new band alert at sxsw check out a house a home google them now link,,No emotion toward brand or product
miss the battelle interview about ipad  ampsocial media last week find it here video link sxsw,,No emotion toward brand or product
apple grabbed the tablet mindshare at sxsw but rim owns one of the most popular events foodspotting   link mention,,No emotion toward brand or product
apple grabbed the tablet mindshare at sxsw but rim owns one of the most popular events foodspotting mnbuzz  link,Apple,Positive emotion
just got bbq on my iphone sxsw,,No emotion toward brand or product
funny to be at the psfk session sponsored by microsoft all they do is to talk about apple sxsw,,No emotion toward brand or product
going to be awesome rt mention gallery of original daniel johnston art going up at tomorrows gsdm  google industry party  sxsw,,No emotion toward brand or product
going to be big if google gets it using qampa site hipster if youre at sxsw  link sxsw tech social,,No emotion toward brand or product
about to be interviewed by mashable while waiting in line at the popup apple store at sxsw,,No emotion toward brand or product
mention be sure to use our free app for checking out the bands at sxsw link,,Positive emotion
line has been wrapped around the block all day apple ipad sxsw,,No emotion toward brand or product
see a member of our team carrying one of these bags at sxsw show them your wolframapp amp get a wa iphone case link,,No emotion toward brand or product
see a member of our team with this bag at sxsw show them your wolfram app amp get a wa case for your iphone  link,,No emotion toward brand or product
enjoying berkowitz talk about rfid and ncfimpact on mobile retail would you carry a nfc phone google bullish sxsw ballroom e,,Positive emotion
any blackberry apps for sxsw  pls let mention and i knowcheerswill have iphone too,,I can't tell
mention best thing ive heard at sxsw quoti gave my ipad  money to japan relief i dont need an ipad mention mention sxswgood,iPad,Negative emotion
rt globalbestaward holler gram for ipad on itunes store link via mention all you sxswsters great app from madebymany,iPad or iPhone App,Positive emotion
the next big thing hmmm rt mention google to launch major new social network called circles possibly today link sxsw,Google,Positive emotion
could be biggtgtgoogle to launch major new social network called circles possibly today  link tech sxsw,,No emotion toward brand or product
 of mobile hits on texas tribune come from apple devices cor via niran babalola sxsw,,No emotion toward brand or product
aol tmobile launch play android app link via mention sxsw,,No emotion toward brand or product
hey nerdbird crew  grab our app and snap some freak pics link sxsw,,No emotion toward brand or product
success blah panel but found an open outlet to charge up the old ipad sxsw fb,,No emotion toward brand or product
too quotable gt rt mention quotapple is the most elegant fascist company in americaquot flipboard sxsw,Apple,Negative emotion
 mashable  the ipad  takes over sxsw video ipad sxsw gadgets link link,,No emotion toward brand or product
mention blogging from your ipad notes the next step hope you are having a great time sxsw,iPad,Positive emotion
will somebody write an app that lets me consistently type quotshitquot on my goddamn iphone hey sxsw  jump on that,iPhone,Negative emotion
postfacebook deal beluga gets a final sxsw tuneup link tc facebook iphone,,No emotion toward brand or product
postfacebook deal beluga gets a final sxsw tuneup link beluga facebook iphone sxsw,,No emotion toward brand or product
postfacebook deal beluga gets a final sxsw tuneup link butfacebook fastsociety iphone sxsw,,No emotion toward brand or product
postfacebook deal beluga gets a final sxsw tuneup link tc beluga facebook iphone sxsw,,No emotion toward brand or product
mention booth  at sxsw amp we have some great deals going on there to buy a juice pack and extend your iphone battery life,,No emotion toward brand or product
my wish both for myself amp for boomers stop disabling zoom on iphone amp ipad apps sxsw yourmom,,No emotion toward brand or product
excited about sxsw tomorrow leaving for austin at am will see googles mention at pm still working my schedule,Google,Positive emotion
talking about bar codes and their use  google has an open source bar code api  that can be used for other devices sxsw mobile,,No emotion toward brand or product
talking about ipads usefulness for developers were not nerds at all sxsw,iPad,Positive emotion
we read about the google circles rumors today at sxsw what are your thoughts on it let us know liptonsxsw link ,,No emotion toward brand or product
ipad unboxing outside the sxsw apple store link,,No emotion toward brand or product
redbull bpm dj ipad app is powering this party sxsw dtas   mention republic live link,iPad or iPhone App,Positive emotion
at left brain search  google right brain search  x at sxswlink sxsw bettersearch,,No emotion toward brand or product
come celebrate austin with google and gsdampm at sxsw  hotpot blog link fb sxsw,,No emotion toward brand or product
come celebrate w charity water tonight google is throwin the party jump start your sxsw week off right studentsforcleanwaterorgrsvp,Google,Positive emotion
mention brian  actually austin doesnt have an apple store but there is a rumor they built a pop up one link  for sxsw,,No emotion toward brand or product
should i bring my ipad and macbook air or just my air on the startupbus to sxsw nyc,,No emotion toward brand or product
the last broadcast or your mom has an ipad sxsw,,No emotion toward brand or product
want gun bros for android want to play it on xperiaplay find me mention for a download card sxsw  link,,No emotion toward brand or product
play gun bros on an xperia play at google league event and parking lot of teamandroid event on xperiaplay sunday sxsw mention,,No emotion toward brand or product
google labs fusion tables made election day foursquare visualization possible sxsw pr,Other Google product or service,Positive emotion
pubsubhubbub is an interesting way to cache some load off your web server link via mention fsw sxsw,,No emotion toward brand or product
im late but finally here at gsdm google sxsw great surprise to b greeted by the lovely lindsay stillman gonna b a good night,Google,Positive emotion
everyone buy mention an app for his new ipad on this day of his birth happy happy sxsw gsdm,iPad or iPhone App,Positive emotion
should i buy an ipad for mention at the makeshift sxsw apple store on launch day fuck no i respect him too much wwsxsw,iPad,Negative emotion
everyone buying ipad s i feel like a dinosaur with version my blackberry and pc sxsw is like an apple convention sxsw,,No emotion toward brand or product
reminded by mention abt the value of google zeitgeist link sxsw,,No emotion toward brand or product
the walk by lady bird lake was lovely but google maps travel times are not to be trusted sxsw,Other Google product or service,Negative emotion
quotby the law of averages better than buzzquot rt mention quotgoogle circles will be  quot  sxsw,,Positive emotion
inspiredbyprint sxsw oh burn comparing ipads skeumorpism to magic cap and bob,,No emotion toward brand or product
link tc google sxsw marissa mayer  of google maps usage is mobile and there are  million link,,No emotion toward brand or product
optimistic ohio sxsw google pay per click management   link,,No emotion toward brand or product
wicked pic i got of mention duncan jones before i got to shake his hand sxsw  link,,No emotion toward brand or product
free music on itunes sxsw featured artists  link itunes sxsw,,No emotion toward brand or product
awkward jc penneys question asked to marissa mayer apparently jc penney locations are being rerouted to macys in google maps sxsw,,No emotion toward brand or product
the ironic tee has been usurped by the ipad  as the hipstergeekstartup chic fashion item at this years sxsw,iPad,Positive emotion
cloud vc this post has nothing to do with sxsw x startup founder amp ceo who has gone to the dark side o link tcn,,No emotion toward brand or product
woohoo cc mention mention rt mention apple to open popup shop at sxsw report  link,,No emotion toward brand or product
game logic agency behaviour monkey mind control the ogilvy ausxsw podcast from sxsw day one link,,No emotion toward brand or product
chris sacca tweets out a fake sxsw beta invite follower swarm ensues  techcrunch chris sacca tweets o link apple,,No emotion toward brand or product
chris sacca tweets out a fake sxsw beta invite follower swarm ensues link,,No emotion toward brand or product
chris sacca tweets out a fake sxsw beta invite follower swarm ensues link ipad,,No emotion toward brand or product
ipadi alacagimiz yer belli oldu  apple to open popup shop at austin sxsw link via mention mention,,I can't tell
the ipad calendar  the frankeninterface designed as one interface metaphor but uses another tapworthy sxsw,,Negative emotion
sxsw macallan a formula for a successful day at sxsw  good sessions my ipad and a glass of macallan single malt link,iPad,Positive emotion
i knew localmind by mention was a hit its getting huge press at sxsw we reviewed it earlier here link localmind,,No emotion toward brand or product
mention can not wait for ipad  also they should sale them down at sxsw,iPad,Positive emotion
